username,total_commits,total_additions,total_deletions,total_net_lines,repo_count,avg_additions_per_repo,avg_commits_per_repo,lines_per_commit
maksym,0,0,0,0,1,0.0,0.0,
m-toufeeq,0,0,0,0,1,0.0,0.0,
lvyiwei1,0,0,0,0,1,0.0,0.0,
MMelQin,0,0,0,0,1,0.0,0.0,
luisDIXMIT,0,0,0,0,1,0.0,0.0,
luckypig3400,0,0,0,0,1,0.0,0.0,
mbot-dev,0,0,0,0,1,0.0,0.0,
mbellehumeur,0,0,0,0,1,0.0,0.0,
mbaltus,0,0,0,0,1,0.0,0.0,
mattwiller,0,0,0,0,1,0.0,0.0,
matteovivona,0,0,0,0,2,0.0,0.0,
masnick,0,0,0,0,1,0.0,0.0,
marsante,0,0,0,0,1,0.0,0.0,
MariaDolotova,0,0,0,0,1,0.0,0.0,
Manhydra,0,0,0,0,1,0.0,0.0,
lvwerra,0,0,0,0,1,0.0,0.0,
nextcloud-bot,0,0,0,0,1,0.0,0.0,
necipfazil,0,0,0,0,1,0.0,0.0,
nazrulworld,0,0,0,0,3,0.0,0.0,
natashadsilva,0,0,0,0,1,0.0,0.0,
natalieharris,0,0,0,0,1,0.0,0.0,
narges-rzv,0,0,0,0,1,0.0,0.0,
napiergit,0,0,0,0,1,0.0,0.0,
LinglongQian,0,0,0,0,1,0.0,0.0,
Level60Warlock,0,0,0,0,1,0.0,0.0,
LaMMMy,0,0,0,0,1,0.0,0.0,
LaErre9,0,0,0,0,1,0.0,0.0,
mogox,0,0,0,0,1,0.0,0.0,
LMeijerink,0,0,0,0,1,0.0,0.0,
JePrzybilla,0,0,0,0,1,0.0,0.0,
JclnJ,0,0,0,0,1,0.0,0.0,
JayYip,0,0,0,0,1,0.0,0.0,
JayMurdoch,0,0,0,0,1,0.0,0.0,
ohr,0,0,0,0,2,0.0,0.0,
